INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
Alloggio per uso turistico 4552;Unica;VIA GIOVANNI DA CASTEL BOLOGNESE, 30;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4583;Unica;PIAZZA IPPOLITO NIEVO, 21;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4648;Unica;PIAZZA S. GIOVANNI DI DIO, 4;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4671;Unica;VIA GIOVANNI BATTISTA FALDA, 22;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4675;Unica;VIA PIETRO CARTONI, 7;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4676;Unica;VIA STEFANO BOCCAPADULI, 23;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4736;Unica;VIA ANGELO BELLANI, 3;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4752;Unica;LUNGOTEVERE DEGLI ARTIGIANI, 32;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4754;Unica;VIA GIUSEPPE PARINI, 25;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 476;Unica;VIA GIANO PARRASIO, 14;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4767;Unica;VIA CARLO PISACANE, 18;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4779;Unica;VIA BERNARDINO RAMAZZINI, 135;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4792;Unica;VIA FRATELLI BANDIERA, 28;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4807;Unica;LUNGOTEVERE DEGLI ARTIGIANI, 10;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4837;Unica;VIA GIACOMO CORRADI, 11;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4967;Unica;VIA EDOARDO JENNER, 94;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 4980;Unica;VIA ALESSANDRO POERIO, 112;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5002;Unica;VIA PORTUENSE, 111;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5004;Unica;VIA FRANCESCO CORNARO, 13;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5013;Unica;VIA DEI VERALLI, 26;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5014;Unica;LARGO S. VINCENZO DE' PAOLI, 8;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5025;Unica;VIA CESARE PASCARELLA, 34;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 506;Unica;VIA GIOVANNI LIVRAGHI, 2;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5060;Unica;VIA PONTEDASSIO, 18;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5070;Unica;VIA S. GIROLAMO EMILIANI, 2;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 51;Unica;VIA BASILIO BRICCI, 39;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 510;Unica;VIA DI MONTE VERDE, 53;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5109;Unica;VIA VITELLIA, 55;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 511;Unica;VIA ANTONIO CERASI, 22;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5118;Unica;VIA AURELIA ANTICA, 425;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5146;Unica;VIA FERDINANDO PALASCIANO, 40;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5173;Unica;VICOLO DI BRAVETTA, 36;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5192;Unica;CIRCONVALLAZIONE GIANICOLENSE, 96;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 525;Unica;VIALE DI VILLA PAMPHILI, 37;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 530;Unica;VIA LORENZO VIDASCHI, 21;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5323;Unica;VIA PORTUENSE, 119;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5334;Unica;VIA DEGLI ALDOBRANDESCHI, 67;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5358;Unica;VIA FEDERICO ROSAZZA, 52;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5366;Unica;VIA DEGLI ORTI GIANICOLENSI, 5;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5384;Unica;VIA LORENZO VALLA, 24;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5395;Unica;VIA FRANCESCO DALL'ONGARO, 43;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5419;Unica;VIALE DI TRASTEVERE, 240;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5422;Unica;VIA LUDOVICO DI MONREALE, 38;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5468;Unica;VIA PIETRO CARTONI, 4;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 548;Unica;VIA DEI FELTRESCHI, 15;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5491;Unica;VIA MATTIA MONTECCHI, 4;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5513;Unica;VIA AURELIO GIUSEPPE AMATUCCI, 19;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5539;Unica;VIA RIVA LIGURE, 42;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5550;Unica;VIALE DEI COLLI PORTUENSI, 650;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 557;Unica;VIA DEGLI ORTI GIANICOLENSI, 5;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5578;Unica;VIA CARLO PISACANE, 53;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5592;Unica;VIALE DI TRASTEVERE, 172;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5605;Unica;VIA GIOVANNI BATTISTA FALDA, 18;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5644;Unica;LARGO BERNARDINO DA FELTRE, 1;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5660;Unica;VIA DEI MALATESTA, 51;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5668;Unica;VIA GIOVANNI BATTISTA FALDA, 24;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5680;Unica;VIA FELICE CAVALLOTTI, 57;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5697;Unica;CIRCONVALLAZIONE GIANICOLENSE, 190/C;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5708;Unica;CIRCONVALLAZIONE GIANICOLENSE, 204;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5714;Unica;VIA GIOVANNI BATTISTA FALDA, 18;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 575;Unica;VIALE DI TRASTEVERE, 319;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5756;Unica;VIA EMILIO LAMI, 10;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5770;Unica;VIA FONTEIANA, 120;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 578;Unica;VIA FONTEIANA, 66;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5792;Unica;VIA ALESSANDRO POERIO, 95;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5871;Unica;VIA DI MONTE VERDE, 14;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5898;Unica;VIA DI VIGNA ALVI, 6;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5941;Unica;VIA PORTUENSE, 104;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5967;Unica;VIA ANTONIO DIONISI, 45;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5990;Unica;VIA DI MONTE VERDE, 256;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 5995;Unica;VIA ANTON GIULIO BARRILI, 35;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6004;Unica;VIA GIOVANNI DA CASTEL BOLOGNESE, 59;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6015;Unica;VIA S. GIROLAMO EMILIANI, 2;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 603;Unica;VIA FRANCESCO DATINI, 12;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6033;Unica;VIA DEI CYBO, 22;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6050;Unica;VIA VIRGINIA AGNELLI, 38;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6093;Unica;VIA DI MONTE VERDE, 16;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6144;Unica;CIRCONVALLAZIONE GIANICOLENSE, 111;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6153;Unica;VIA FOLCO PORTINARI, 62;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6154;Unica;VIA SEVERO CARMIGNANO, 9;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6177;Unica;VIA LORENZO VIDASCHI, 36;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6222;Unica;VIA ETTORE ROLLI, 24;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6243;Unica;VIA DEI CYBO, 36;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6257;Unica;VIA DEI TORRIANI, 27;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6301;Unica;VIA FRANCESCO DALL'ONGARO, 53;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6341;Unica;VIA MARCANTONIO ODESCALCHI, 1/B;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6362;Unica;VIA PIO FOA', 100;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6386;Unica;VIA DEGLI ESTENSI, 291;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6399;Unica;VIALE DI TRASTEVERE, 186;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6418;Unica;VIALE DEI QUATTRO VENTI, 52;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6431;Unica;VIA PIETRO CARTONI, 12;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6449;Unica;CIRCONVALLAZIONE GIANICOLENSE, 18;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6451;Unica;VIA PIO FOA', 100;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6467;Unica;VIA FEDERICO TORRE, 7;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6484;Unica;VIA FONTEIANA, 9;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6487;Unica;VIA ANTONIO CESARI, 43;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6495;Unica;VIALE DI TRASTEVERE, 269;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6507;Unica;VIA NICOLO' TOMMASEO, 1;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6512;Unica;VIA FRANCESCO DALL'ONGARO, 81;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6515;Unica;VIA LUIGI CECI, 21;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6519;Unica;VIA RAFFAELE BATTISTINI, 15;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6541;Unica;VIA FABIOLA, 5;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6564;Unica;VIALE DI TRASTEVERE, 319;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6566;Unica;VIA GIOVANNI PRATI, 7;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6589;Unica;VIA EDOARDO JENNER, 136;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 659;Unica;VIALE DI TRASTEVERE, 230;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6601;Unica;VIA AURELIA ANTICA, 427;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6605;Unica;VIA LUIGI PAGLIANI, 27;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6606;Unica;PIAZZA S. GIOVANNI DI DIO, 40;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6610;Unica;VIA LUDOVICA ALBERTONI, 90;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6618;Unica;VIA PORTUENSE, 104;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6633;Unica;VIA FILIPPO CHIAPPINI, 15;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6663;Unica;VIA EDOARDO JENNER, 14;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6724;Unica;VIA PIETRO CAMPORA, 12;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6748;Unica;VIA GIOVANNI VESTRI, 14;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6764;Unica;VIA PORTUENSE, 163;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6828;Unica;LARGO FRANCESCO ANZANI, 31;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6830;Unica;VIA ALESSANDRO POERIO, 56;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6835;Unica;VIA DEL FORTE BRAVETTA, 21;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6858;Unica;VIA FERDINANDO VEROSPI, 11;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6865;Unica;VIA DELLA PISANA, 241;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6879;Unica;VIA ALESSANDRO POERIO, 33;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6882;Unica;VIA DAMASO CERQUETTI, 8;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6921;Unica;LARGO FRANCESCO ANZANI, 19;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6922;Unica;VIA S. CALEPODIO, 52;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6928;Unica;VIA LAURA MANTEGAZZA, 4;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6972;Unica;CLIVO RUTARIO, 16;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 6980;Unica;VIA GIACOMO CORRADI, 12;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 699;Unica;VIA FONTEIANA, 66;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 701;Unica;VIA PIETRO CARTONI, 55;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7044;Unica;CIRCONVALLAZIONE GIANICOLENSE, 271;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7069;Unica;VIA PORTUENSE, 123;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7073;Unica;VIA DI MONTE VERDE, 53/F;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7108;Unica;VIALE AURELIO SAFFI, 25;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7117;Unica;VIA GIOVANNI DA CASTEL BOLOGNESE, 30;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7142;Unica;VIA ALESSANDRO ALGARDI, 8;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7157;Unica;VIA GIOVANNI LIVRAGHI, 3;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7161;Unica;VIA LUDOVICA ALBERTONI, 55;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7162;Unica;VIA FABIOLA, 9;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7170;Unica;VIALE DEI COLLI PORTUENSI, 544;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7195;Unica;VIA LUIGI CECI, 19;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7211;Unica;VIA FEDERICO OZANAM, 44;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7276;Unica;CIRCONVALLAZIONE GIANICOLENSE, 258;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7281;Unica;VIA PORTUENSE, 95/E;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7285;Unica;VIA ANGELO BELLANI, 32;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 730;Unica;VIA ANTONIO PIGNATELLI, 33;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7315;Unica;VIA PAOLA FALCONIERI, 100;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 737;Unica;VIA FEDERICO OZANAM, 69;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7379;Unica;VIALE DEI QUATTRO VENTI, 57;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7391;Unica;VIA GIOVANNI FILIPPO INGRASSIA, 24;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7407;Unica;VIA DELLA PISANA, 127;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7462;Unica;VIA DI VAL TELLINA, 110;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7463;Unica;VIALE DI VILLA PAMPHILI, 37/B;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7464;Unica;VIA BENEDETTO MUSOLINO, 41;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7477;Unica;VIA AURELIA ANTICA, 425;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7485;Unica;VIA DEL CASALE LUMBROSO, 157;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7508;Unica;VIA GIAN MATTEO GIBERTI, 31;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7561;Unica;VIALE DEI QUATTRO VENTI, 10;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7569;Unica;VIA FEDERICO ROSAZZA, 52;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7588;Unica;VIA TARQUINIO VIPERA, 2;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7593;Unica;VIA ANTONIO TOSCANI, 24;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7596;Unica;VIA DI DONNA OLIMPIA, 20;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7647;Unica;VIA GIORGIO BOLOGNETTI, 15;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7690;Unica;PIAZZALE ENRICO DUNANT, 46;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7712;Unica;VIALE DEI QUATTRO VENTI, 31;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
Alloggio per uso turistico 7749;Unica;VIA FELICE CAVALLOTTI, 73;Municipio XII (ex Mun XVI);Alloggio per uso Turistico;0;0;0;0;0;0;0;0
