INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE
A&F COLOSSEO;Unica;VIA DEI QUATTRO CANTONI, 55;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
A&S FORAGGI APARTMENT DI SPEZZAFERRI ANDREA MARIA;Categoria 1;VIA DEI FORAGGI, 82;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;1;0;0;0;0;0;0
A-FLAT;Categoria 2;PIAZZA SFORZA CESARINI, 28;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;0;1;0;0;0;0;0
A-ROME SUITE;Categoria 2;VIA MERULANA, 259;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
A.WILLIAM FLAT;Unica;VIA CALATAFIMI, 41;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;1;0;0;0;0;0;0
AB HOUSE;Categoria 2;VIA SOLFERINO, 9;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;0;2;1;0;0;0
ABBITUE';Categoria 2;VIA DELL'OCA, 45;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);2;0;0;0;0;0;0;0
ABERDEEN;2 Stelle;VIA FIRENZE, 48;Municipio I (ex Mun I);Albergo;10;22;5;0;0;0;0;0
ABID'S PALACE IN TERMINI Guest House o Affittacamere/Guest House o Affittacamere  ABID'S PALACE IN TERMINI;Categoria 3;VIA NAPOLEONE III, 29;Municipio I (ex Mun I);Guest House o Affittacamere;0;1;2;1;0;0;0;0
ABITARE TRASTEVERE;Categoria 2;VIA DI PONTE SISTO, 69;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
ABITARE TRASTEVERE;Categoria 4;VIA DI PONTE SISTO, 69;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;0;0;0;0;0;0
ABOUT ROME;Categoria 2;VIA FRANCESCO CRISPI, 79;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0
ACCADEMIA;3 Stelle;PIAZZA DELL'ACCADEMIA DI S. LUCA, 75;Municipio I (ex Mun I);Albergo;13;34;23;3;1;0;0;0
ACCOGLIENZA VILLA LANTE DELLE SUORE DEL SACRO CUORE;Unica;VIA DI S. FRANCESCO DI SALES, 18;Municipio I (ex Mun I);Casa per ferie;12;11;2;0;0;0;0;0
ACCOMODATIONSROME;Unica;VIA PRINCIPE EUGENIO, 60;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;1;0;0;0;0;0
ACH - ARCHITECTS HOUSE COLOSSEO;Categoria 3;VIA FRANCESCO GIAMBULLARI, 8;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0
ACQUARIO ROMANO;Unica;PIAZZA MANFREDO FANTI, 38;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
AD HOC DOMUS;Categoria 3;VIA EMANUELE FILIBERTO, 233;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;1;0;0;0;0;0
AD HOC HOME;Categoria 2;VIA DELLA SCALA, 75;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);0;0;0;0;0;0;1;0
ADELINA GUESTHOUSE;Categoria 2;PIAZZA DI PORTA MAGGIORE, 20;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;0;0;0;0;0;0
ADORA SUITE 2 guest house o affittacamere;Categoria 3;VIA FILIPPO TURATI, 28;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;2;0;0;0;0;0
ADORA SUITES guest house o affittacamere;Categoria 3;VIA FILIPPO TURATI, 28;Municipio I (ex Mun I);Guest House o Affittacamere;1;4;0;0;0;0;0;0
ADRIANA E FELICE;Categoria 2;VIA CARLO ALBERTO, 13;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0
ADRIANO;3 Stelle;VIA DI PALLACORDA, 2;Municipio I (ex Mun I);Albergo;6;51;9;14;0;0;0;0
ADRIANUS  HOTEL;2 Stelle;VIA DI TOR MILLINA, 35;Municipio I (ex Mun I);Albergo;0;7;0;0;0;0;0;0
AELIUS;Categoria 2;VIA VOLTURNO, 7;Municipio I (ex Mun I);Guest House o Affittacamere;1;5;0;0;0;0;0;0
AENEA INN;Categoria 1;VIA URBANA, 156;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;2;0;0;0;0;0
AENEA'S B&B;Unica;VIA RATTAZZI, 63;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0
AFFITTA CAMERE LES ARTES;Categoria 3;VIA MILAZZO, 23;Municipio I (ex Mun I);Guest House o Affittacamere;3;1;0;0;0;0;0;0
"AFFITTACAMERE ""LIN MARE""";Categoria 3;VIA CAIROLI, 101;Municipio I (ex Mun I);Guest House o Affittacamere;0;0;2;2;0;0;0;0
"AFFITTACAMERE ""NAVONA CENTRAL SUITES""";Categoria 2;VIA DELLA SCROFA, 22;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;2;0;0;0;0;0
"AFFITTACAMERE ""THEWESLEY ROME SRL""";Categoria 2;VIA DEL BANCO DI S. SPIRITO, 3;Municipio I (ex Mun I);Guest House o Affittacamere;1;1;0;2;1;0;0;0
AFFITTACAMERE A HOME IN ROME DI BAGHERPOUR ABDOLSAID;Categoria 2;VIA CARLO ALBERTO, 53;Municipio I (ex Mun I);Guest House o Affittacamere;0;4;0;0;0;0;0;0
AFFITTACAMERE CENTRO CAVOUR;Categoria 3;VIA CAVOUR, 233;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;2;0;0;0;0;0
AFFITTACAMERE DHALI STAR;Categoria 3;VIA GIOBERTI, 54;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0
AFFITTACAMERE FLANN O' BRIEN ROOMS;Categoria 2;VIA NAPOLI, 29/B;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;0;0;0;0;0;0
AFFITTACAMERE HOUSE MONTI 1875;Categoria 2;VIA DEI SERPENTI, 164;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;0;0;0;0;0;0
AFFITTACAMERE LA FONTANA DEL MOSE';Categoria 2;VIA VENTI SETTEMBRE, 98/L;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;1;0;0;0;0;0
AFFITTACAMERE O GUEST HOUSE EVERGREEN;Categoria 3;VIA MILAZZO, 23;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;2;0;0;0;0;0
AFFITTACAMERE O GUEST HOUSE RIPETTA HARBOUR SUITES;Categoria 2;VIA DI RIPETTA, 12;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;0;0;0;0;0;0
AFFITTACAMERE SETTE A;Categoria 3;VIA ANTONIO SALANDRA, 1/A;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;2;0;0;0;0;0
AFFITTACAMERE TERRAZZA MUNIRA;Categoria 2;VIA EMILIO MOROSINI, 14;Municipio I (ex Mun I);Guest House o Affittacamere;2;0;2;0;0;0;0;0
AFFITTACAMERE/GUEST HOUSE GANDINI MARIA;Categoria 3;PIAZZA MANFREDO FANTI, 5;Municipio I (ex Mun I);Guest House o Affittacamere;0;5;1;0;0;0;0;0
AFFITTACAMERE/GUEST HOUSE THE JEWEL;Categoria 3;VIA DEI CONDOTTI, 85;Municipio I (ex Mun I);Guest House o Affittacamere;0;6;0;0;0;0;0;0
AFFITTACAMERE/GUESTHOUSE LIU SHUO;Categoria 3;VIA CAIROLI, 101;Municipio I (ex Mun I);Guest House o Affittacamere;0;1;0;2;0;0;0;0
AFFRESCHI LUXURY APARTMENT;Categoria 2;VIA DEL GOVERNO VECCHIO, 86;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);2;0;0;0;0;0;0;0
AFFRESCHI SU ROMA;Categoria 3;VIA GIUSEPPE ZANARDELLI, 7;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;2;1;0;0;0;0
