CIU;INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;SITOWEB;EMAIL;TELEFONO;FAX;CELLULARE;CONTATTOFACEBOOK;CONTATTOTWITTER;CONTATTOINSTAGRAM;CONTATTOALTROSOCIAL
ALB-000098-8;ATENEO GARDEN PALACE;4 Stelle;PIAZZA DEI SICULI, 9;Municipio II (ex Mun III);Albergo;10,00;39,00;2,00;3,00;1,00;0,00;0,00;0,00;;;;;;;;;
ALB-000099-9;ATHENA;2 Stelle;VIA ERCOLE PASQUALI, 3;Municipio II (ex Mun III);Albergo;4,00;21,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000101-2;ATLANTE STAR;4 Stelle;VIA GIOVANNI VITELLESCHI, 34;Municipio I (ex Mun XVII);Albergo;25,00;26,00;8,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000102-3;ATLANTICO;4 Stelle;VIA CAVOUR, 23;Municipio I (ex Mun I);Albergo;14,00;39,00;15,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000103-4;AUGUSTEA;3 Stelle;VIA NAZIONALE, 251;Municipio I (ex Mun I);Albergo;2,00;5,00;7,00;5,00;1,00;0,00;0,00;0,00;;;;;;;;;
ALB-000104-5;AURELIUS;3 Stelle;VIA AURELIA, 458;Municipio XIII (ex Mun XVIII);Albergo;7,00;12,00;3,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000106-7;AVENTINO;3 Stelle;VIA DI S. DOMENICO, 10;Municipio I (ex Mun I);Albergo;0,00;11,00;9,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000108-9;BARBERINI;4 Stelle;VIA RASELLA, 3;Municipio I (ex Mun I);Albergo;5,00;26,00;0,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000109-1;BAROCCO HOTEL;4 Stelle;VIA DELLA PURIFICAZIONE, 4;Municipio I (ex Mun I);Albergo;7,00;23,00;3,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000110-2;BARRETT;3 Stelle;VIA DI TORRE ARGENTINA, 47;Municipio I (ex Mun I);Albergo;0,00;11,00;9,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000117-9;BEL POGGIO;2 Stelle;VIA DI SETTEBAGNI, 733;Municipio III (ex Mun IV);Albergo;1,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000120-3;BENEDETTO;3 Stelle;VIA ALBERICO DA ROSATE, 7;Municipio XIII (ex Mun XVIII);Albergo;7,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000121-4;BERGAMO;2 Stelle;VIA GIOBERTI, 30;Municipio I (ex Mun I);Albergo;3,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000124-7;HOTEL TERMINI;2 Stelle;VIA GIOVANNI AMENDOLA, 77;Municipio I (ex Mun I);Albergo;1,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000125-8;BIXIO;1 Stella;VIA BIXIO, 46;Municipio I (ex Mun I);Albergo;0,00;11,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000128-2;BOCCACCIO;1 Stella;VIA DEL BOCCACCIO, 25;Municipio I (ex Mun I);Albergo;2,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000129-3;BOLIVAR;4 Stelle;VIA DELLA CORDONATA, 6;Municipio I (ex Mun I);Albergo;1,00;14,00;15,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000130-4;BOLOGNESE;2 Stelle;VIA PALESTRO, 15;Municipio I (ex Mun I);Albergo;5,00;7,00;2,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000134-8;BRAMANTE;2 Stelle;VICOLO DELLE PALLINE, 25;Municipio I (ex Mun XVII);Albergo;16,00;8,00;4,00;3,00;1,00;0,00;0,00;0,00;;;;;;;;;
ALB-000137-2;BRUNA;2 Stelle;VIA MARGHERA, 13;Municipio I (ex Mun I);Albergo;4,00;13,00;1,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000140-5;CAMBRIDGE;3 Stelle;VIA PALESTRO, 87;Municipio I (ex Mun I);Albergo;10,00;29,00;6,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000141-6;CAMPO DE' FIORI;4 Stelle;VIA DEL BISCIONE, 6;Municipio I (ex Mun I);Albergo;1,00;5,00;16,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000144-9;CANOVA;3 Stelle;VIA URBANA, 9;Municipio I (ex Mun I);Albergo;2,00;18,00;0,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000145-1;CAPITAL INN;4 Stelle;VIA CARLO SANTARELLI, 96;Municipio VI (ex Mun VIII);Albergo;0,00;0,00;43,00;66,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000146-2;CAPITOL;2 Stelle;VIA GIOVANNI AMENDOLA, 85;Municipio I (ex Mun I);Albergo;6,00;27,00;12,00;5,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000155-2;CARLO ALBERTO;1 Stella;VIA CARLO ALBERTO, 43;Municipio I (ex Mun I);Albergo;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000157-4;CARMEL;1 Stella;VIA GOFFREDO MAMELI, 11;Municipio I (ex Mun I);Albergo;5,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000161-8;KOLBE HOTEL ROME;4 Stelle;VIA DI S. TEODORO, 44;Municipio I (ex Mun I);Albergo;1,00;39,00;22,00;9,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000163-1;CASA VALDESE;2 Stelle;VIA ALESSANDRO FARNESE, 18;Municipio I (ex Mun XVII);Albergo;3,00;17,00;9,00;4,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000171-9;CAVALIERI HILTON;5 Stelle;VIA ALBERTO CADLOLO, 101;Municipio XIV (ex Mun XIX);Albergo;0,00;358,00;0,00;2,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000172-1;CAVOUR;2 Stelle;VIA CAVOUR, 47;Municipio I (ex Mun I);Albergo;9,00;19,00;4,00;4,00;1,00;0,00;0,00;0,00;;;;;;;;;
ALB-000173-2;CECIL;3 Stelle;VIA FRANCESCO CRISPI, 55;Municipio I (ex Mun I);Albergo;11,00;9,00;14,00;7,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000176-5;CENTER 1;3 Stelle;VIA GIOVANNI GIOLITTI, 433;Municipio I (ex Mun I);Albergo;3,00;7,00;13,00;22,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000177-6;CENTER  2;3 Stelle;VIA GIOVANNI GIOLITTI, 441;Municipio I (ex Mun I);Albergo;0,00;30,00;19,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000180-9;EUROSTARS SAINT JOHN;4 Stelle;VIA MATTEO BOIARDO, 30;Municipio I (ex Mun I);Albergo;3,00;74,00;4,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000181-1;CERVIA;1 Stella;VIA PALESTRO, 55;Municipio I (ex Mun I);Albergo;8,00;13,00;9,00;5,00;0,00;0,00;0,00;0,00;;;;;;;;;
ALB-000183-3;CHAMPAGNE GARDEN;4 Stelle;VIA VITTORIO BACHELET, 3;Municipio I (ex Mun I);Albergo;3,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
