INSEGNA;CLASSIFICAZIONE;INDIRIZZO;MUNICIPIO;TIPOLOGIA;SINGOLE;DOPPIE;TRIPLE;QUADRUPLE;QUINTUPLE;SESTUPLE;UNITA_ABITATIVE;POSTI_LETTO_UNITA_ABITATIVE;latitude;longitude
9 HOTEL CESARI;3 Stelle;VIA DI PIETRA, 89/A;Municipio I (ex Mun I);Albergo;6;37;5;0;0;0;0;0;41.89996;12.47998
900 LIBERTY guest house o affittacamere;Categoria 2;CORSO VITTORIO EMANUELE II, 294;Municipio I (ex Mun I);Guest House o Affittacamere;1;2;1;1;0;0;0;0;41.89901;12.46701
939 HOTEL;3 Stelle;VIA DEL CLEMENTINO, 94;Municipio I (ex Mun I);Albergo;10;4;2;0;0;0;0;0;41.90319;12.47537
A 2 PASSI DA ST.PETER CHURCH;Categoria 2;VIA PAOLA, 46;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);1;1;0;0;0;0;0;0;41.90061;12.465
BEAUTIFUL PLACE IN ROME;Categoria 3;VIA VICENZA, 20;Municipio I (ex Mun I);Guest House o Affittacamere;0;3;0;0;0;0;0;0;41.90294;12.50252
A CASA CARRA;Categoria 3;VIA DELLO STATUTO, 44;Municipio I (ex Mun I);Guest House o Affittacamere;2;1;0;0;0;0;0;0;41.89484;12.50132
A CASA DEL MAGO DI OZ;Categoria 3;VIA VOLTURNO, 31;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;0;1;0;0;0;0;0;41.90456;12.49948
A CASA DEL PALMER;Categoria 2;PIAZZA VITTORIO EMANUELE II, 70;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;2;0;0;0;0;0;0;41.89401;12.506
CASA DI ARIANNA;Categoria 2;PIAZZA DI S. CROCE IN GERUSALEMME, 4;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;3;0;0;0;0;0;0;41.88926;12.514
CASA DI ELLE;Categoria 4;VIA EMANUELE FILIBERTO, 166;Municipio I (ex Mun I);Casa Vacanze NON impr (Appartamento);0;1;1;0;0;0;0;0;41.88772;12.50828
A CASA DI JASMINE;Unica;VIA CALATAFIMI, 41;Municipio I (ex Mun I);Bed & Breakfast non imprenditoriale;0;0;0;0;0;0;0;0;41.90516;12.50046
A CASA DI MARCO;Categoria 2;PIAZZA MANFREDO FANTI, 10;Municipio I (ex Mun I);Casa Vacanze impr (Appartamento);2;2;0;0;0;0;0;0;41.89808;12.50318
A CASA DI MEI;Categoria 3;PIAZZA VITTORIO EMANUELE II, 55;Municipio I (ex Mun I);Guest House o Affittacamere;1;3;1;0;0;0;0;0;41.89462;12.50599
A CASA DI PENELOPE GUEST HOUSE O AFFITTACAMERE;Categoria 3;VIA VARESE, 5;Municipio I (ex Mun I);Guest House o Affittacamere;0;2;2;1;0;0;0;0;41.90347;12.50458
A CASA DI SONIA;Categoria 2;VIA DEL VIMINALE, 58;Municipio I (ex Mun I);Guest House o Affittacamere;2;2;0;0;0;0;0;0;41.90004;12.49559
